title,url,date,language,done,document_path
el test a florentino,https://www.youtube.com/watch?v=I6mctmgGSa4,2018-05-10,es,yes,data/08_reporting/el_test_a_florentino.html
el otro florentino,https://www.youtube.com/watch?v=MBeF5eCXhyA,2018-05-10,es,yes,data/08_reporting/el_otro_florentino.html
